Title,Company,Rating,Review,Experience,Location,Salary,Description,Skills
Data Science Analytics Sr Analyst - Data Science,Accenture,4.1,,5-8 Yrs,Mumbai,Not disclosed,Please note that this role may require you to work in rotational shiftsQualifications: ...,"['Data', 'SciencePublishingArtificial', 'IntelligencePredictive', 'modelingCloudAI', 'applicationsIntelligenceData']"
Data Science Domain Manager,Coursera,3.9,,7-11 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"We are seeking a strategic, data-driven, and entrepreneurial content strategist to en...","['Computer', 'scienceContent', 'strategyData', 'analysisUsagedata', 'scienceArtificial', 'IntelligenceMachine', 'learningData', 'analytics']"
Data Science Analyst II Developer,,,,0-5 Yrs,"Noida, Uttar Pradesh, Gurgaon/ Gurugram, Haryana, Delhi / NCR",4-9 Lacs PA,"Technical expertise regarding data models, database design development, data mining and...","['Data', 'ScienceData', 'Science', 'AnalystDATAAdvanced', 'AnalyticsData', 'AnalyticsTensorflowEDANatural', 'Language', 'Processing']"
Senior Data Analyst (Data Science),Trigyn Technologies,3.5,,5-10 Yrs,Remote,Not disclosed,Trigyn has a contractual opportunity for a Senior Data Analyst. This resource will be ...,"['Data', 'ScienceData', 'MartArtificial', 'IntelligenceData', 'CurationData', 'MiningData', 'VisualizationData', 'AnalyticsMachine', 'Learning']"
"SENIOR MANAGER I, DATA SCIENCE",Walmart,4.0,,6-10 Yrs,Bangalore/Bengaluru,Not disclosed,"Peer review and publish work in top tier ML / AI conferences such as NIPS, ICML, AAAI a...","['ConsultingMachine', 'learningSEZData', 'miningContinuous', 'improvementForecastingInformation', 'technologyAnalytics']"
"Senior Analyst, Data Science & Analytics",Transunion,4.2,,1-2 Yrs,Pune,Not disclosed,This role will be required to fit well within a lively and interactive team and quickly...,"['Data', 'analysisOperations', 'researchLinuxRisk', 'managementBusiness', 'intelligenceGamingAnalyticsFinancial', 'services']"
Senior Analyst- Data Science,Tiger Analytics,3.5,,2-5 Yrs,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",13-18 Lacs PA,Tiger Analytics is a global AI and analytics consulting firm. With data and technology ...,"['Machine', 'Learning', 'AlgorithmsRegression', 'ModelingPython', 'DevelopmentPythonAlgorithmsDataMachine', 'learningMachine']"
Head - Data Science & Business Analytics,Denave,3.9,,12-15 Yrs,"Hybrid - Noida, Uttar Pradesh",Not disclosed,"Skills Required : Team Management, Data Science, P&L, Client Management, . Commercial, ...","['NLPData', 'SciencePredictive', 'ModelingTeam', 'ManagementPower', 'BiAdvanced', 'AnalyticsStatistical', 'ModelingETL']"
"Manager, Data Science",Cerner,3.9,,8-13 Yrs,Bangalore/Bengaluru,Not disclosed,Preferred Qualifications . At least 1 year data analytics and / or statistics work exp...,"['Data', 'managementdata', 'scienceProject', 'managementData', 'analyticsdata', 'visualizationManagementData', 'miningBusiness', 'intelligence']"
Data Science Engineer || Immediate Joiner || Bangalore,Conneqt,3.7,,3-6 Yrs,Hybrid - Bangalore/Bengaluru,Not disclosed,Total Experience Required: 3 to 6 Years . Location: Bangalore . Work Mode: Work from of...,"['Data', 'SciencePredictive', 'ModelingLogistic', 'RegressionDeep', 'Learning', 'FrameworksLinear', 'RegressionTime', 'Series', 'AnalysisTime', 'SeriesMachine', 'Learning']"
